Number of clusters	Members in cluster	Percentage of total
1088	1	.01300
1089	1	.01300
1090	1	.01300
1091	1	.01300
1092	1	.01300
1093	1	.01300
1094	1	.01300
1095	1	.01300
1096	1	.01300
1097	1	.01300
1098	1	.01300
1099	1	.01300
1100	1	.01300
1101	1	.01300
1102	1	.01300
1103	1	.01300
1104	1	.01300
1105	1	.01300
1106	1	.01300
1107	1	.01300
1108	1	.01300
1109	1	.01300
1110	1	.01300
1111	1	.01300
1112	1	.01300
1113	1	.01300
1114	1	.01300
1115	1	.01300
1116	1	.01300
1117	1	.01300
1118	1	.01300
1119	1	.01300
1120	1	.01300
1121	1	.01300
1122	1	.01300
1123	1	.01300
1124	1	.01300
1125	1	.01300
1126	1	.01300
1127	1	.01300
1128	1	.01300
1129	1	.01300
1130	1	.01300
1131	1	.01300
1132	1	.01300
1133	1	.01300
1134	1	.01300
1135	1	.01300
1136	1	.01300
1137	1	.01300
1138	1	.01300
1139	1	.01300
1140	1	.01300
1141	1	.01300
1142	1	.01300
1143	1	.01300
1144	1	.01300
1145	1	.01300
1146	1	.01300
1147	1	.01300
1148	1	.01300
1149	1	.01300
1150	1	.01300
1151	1	.01300
1152	1	.01300
1153	1	.01300
1154	1	.01300
1155	1	.01300
1156	1	.01300
1157	1	.01300
1158	1	.01300
1159	1	.01300
1160	1	.01300
1161	1	.01300
1162	1	.01300
1163	1	.01300
1164	1	.01300
1165	1	.01300
1166	1	.01300
1167	1	.01300
1168	1	.01300
1169	1	.01300
1170	1	.01300
1171	1	.01300
1172	1	.01300
1173	1	.01300
1174	1	.01300
1175	1	.01300
1176	1	.01300
1177	1	.01300
1178	1	.01300
1179	1	.01300
1180	1	.01300
1181	1	.01300
1182	1	.01300
1183	1	.01300
1184	1	.01300
1185	1	.01300
1186	1	.01300
1187	1	.01300
1188	1	.01300
1189	1	.01300
1190	1	.01300
1191	1	.01300
1192	1	.01300
1193	1	.01300
1194	1	.01300
1195	1	.01300
1196	1	.01300
1197	1	.01300
1198	1	.01300
1199	1	.01300
1200	1	.01300
1201	1	.01300
1202	1	.01300
1203	1	.01300
1204	1	.01300
1205	1	.01300
1206	1	.01300
1207	1	.01300
1208	1	.01300
1209	1	.01300
1210	1	.01300
1211	1	.01300
1212	1	.01300
1213	1	.01300
1214	1	.01300
1215	1	.01300
1216	1	.01300
1217	1	.01300
1218	1	.01300
1219	1	.01300
1220	1	.01300
1221	1	.01300
1222	1	.01300
1223	1	.01300
1224	1	.01300
1225	1	.01300
1226	1	.01300
1227	1	.01300
1228	1	.01300
1229	1	.01300
1230	1	.01300
1231	1	.01300
1232	1	.01300
1233	1	.01300
1234	1	.01300
1235	1	.01300
1236	1	.01300
1237	1	.01300
1238	1	.01300
1239	1	.01300
1240	1	.01300
1241	1	.01300
1242	1	.01300
1243	1	.01300
1244	1	.01300
1245	1	.01300
1246	1	.01300
1247	1	.01300
1248	1	.01300
1249	1	.01300
1250	1	.01300
1251	1	.01300
1252	1	.01300
1253	1	.01300
1254	1	.01300
1255	1	.01300
1256	1	.01300
1257	1	.01300
1258	1	.01300
1259	1	.01300
1260	1	.01300
1261	1	.01300
1262	1	.01300
1263	1	.01300
1264	1	.01300
1265	1	.01300
1266	1	.01300
1267	1	.01300
1268	1	.01300
1269	1	.01300
1270	1	.01300
1271	1	.01300
1272	1	.01300
1273	1	.01300
1274	1	.01300
1275	1	.01300
1276	1	.01300
1277	1	.01300
1278	1	.01300
1279	1	.01300
1280	1	.01300
1281	1	.01300
1282	1	.01300
1283	1	.01300
1284	1	.01300
1285	1	.01300
1286	1	.01300
1287	1	.01300
1288	1	.01300
1289	1	.01300
1290	1	.01300
1291	1	.01300
1292	1	.01300
1293	1	.01300
1294	1	.01300
1295	1	.01300
1296	1	.01300
1297	1	.01300
1298	1	.01300
1299	1	.01300
1300	1	.01300
1301	1	.01300
1302	1	.01300
1303	1	.01300
1304	1	.01300
1305	1	.01300
1306	1	.01300
1307	1	.01300
1308	1	.01300
1309	1	.01300
1310	1	.01300
1311	1	.01300
1312	1	.01300
1313	1	.01300
1314	1	.01300
1315	1	.01300
1316	1	.01300
1317	1	.01300
1318	1	.01300
1319	1	.01300
1320	1	.01300
1321	1	.01300
1322	1	.01300
1323	1	.01300
1324	1	.01300
1325	1	.01300
1326	1	.01300
1327	1	.01300
1328	1	.01300
1329	1	.01300
1330	1	.01300
1331	1	.01300
1332	1	.01300
1333	1	.01300
1334	1	.01300
1335	1	.01300
1336	1	.01300
1337	1	.01300
1338	1	.01300
1339	1	.01300
1340	1	.01300
1341	1	.01300
1342	1	.01300
1343	1	.01300
1344	1	.01300
1345	1	.01300
1346	1	.01300
1347	1	.01300
1348	1	.01300
1349	1	.01300
1350	1	.01300
1351	1	.01300
1352	1	.01300
1353	1	.01300
1354	1	.01300
1355	1	.01300
1356	1	.01300
1357	1	.01300
1358	1	.01300
1359	1	.01300
1360	1	.01300
1361	1	.01300
1362	1	.01300
1363	1	.01300
1364	1	.01300
1365	1	.01300
1366	1	.01300
1367	1	.01300
1368	1	.01300
1369	1	.01300
1370	1	.01300
1371	1	.01300
1372	1	.01300
1373	1	.01300
1374	1	.01300
1375	1	.01300
1376	1	.01300
1377	1	.01300
1378	1	.01300
1379	1	.01300
1380	1	.01300
1381	1	.01300
1382	1	.01300
1383	1	.01300
1384	1	.01300
1385	1	.01300
1386	1	.01300
1387	1	.01300
1388	1	.01300
1389	1	.01300
1390	1	.01300
1391	1	.01300
1392	1	.01300
1393	1	.01300
1394	1	.01300
1395	1	.01300
1396	1	.01300
1397	1	.01300
1398	1	.01300
1399	1	.01300
1400	1	.01300
1401	1	.01300
1402	1	.01300
1403	1	.01300
1404	1	.01300
1405	1	.01300
1406	1	.01300
1407	1	.01300
1408	1	.01300
1409	1	.01300
1410	1	.01300
1411	1	.01300
1412	1	.01300
1413	1	.01300
1414	1	.01300
1415	1	.01300
1416	1	.01300
1417	1	.01300
1418	1	.01300
1419	1	.01300
1420	1	.01300
1421	1	.01300
1422	1	.01300
1423	1	.01300
